ko,figure,gender_real
부인은 9월 말까지 25개의 의자가 필요하다고 말했습니다.,부인,2
"부인은 그것들을 컨테이너로 사용할 예정인데, 맞나요?",부인,2
우리는 부인과 거래를 성사하는 것을 주저하지 않을 것입니다.,부인,2
부인의 버터 크러스트 빵이 대출을 해준다면 얼마나 많은 돈을 벌 수 있을까요?,부인,2
그것은 사실이지만 이것이 부인이 아는 사업입니다.,부인,2
부인은 판매자가 아닌 이사들로부터 정보를 얻기로 되어 있었다.,부인,2
우리는 부인이 주문하신 날에 물건을 보냈습니다.,부인,2
"만약 부인이 이 이메일에 답장하지 않는다면, 나는 부인이 나에게서 편지를 받지 못한 것으로 간주할 것입니다.",부인,2
"부인과 일을 마치기 전에, 그 프로젝트에 대해 제가 AAA씨에게 먼저 말했다고 생각하지 않으시길 바랍니다.",부인,2
부인이 방금 새 집을 샀기 때문에 그녀는 부인의 번호를 나에게 전달했습니다.,부인,2
부인의 관점에서 볼 때 적절한 콘텐츠 생성 없이 지속해도 괜찮습니까?,부인,2
부인은 배송비와 배송 일정을 확인할 수 있습니다.,부인,2
나는 CCC에게 내가 집을 살 계획이라고 말했고 부인은 그의 부동산 중개인이었습니다.,부인,2
부인이 자랑스러워하는 이전 직장의 성과는 무엇인가요?,부인,2
"만약 부인의 사례가 유효하다면, 약간의 마음의 평화를 위해 모라토리엄을 신청할 수 있습니다.",부인,2
"둘째, 만약 부인이 납기를 연기하기를 고집한다면 우리는 생산을 중단해야 합니다.",부인,2
"부인이 부인의 집을 볼 수 있도록 허락한다면, 우리는 그 때 시간과 날짜에 대해 논의할 수 있습니다.",부인,2
"그에 따르면, 부인의 수제 의복은 합법이었습니다.",부인,2
부인이 보낸 이메일과 관련하여 회사를 대표하여 전화드렸습니다.,부인,2
나는 부인의 한옥에 숙박을 예약 할 수 있기를 바랬습니다.,부인,2
따라서 나는 부인에게 앱을 주문하고 싶습니다.,부인,2
내가 알기로 부인은 다른 사람의 명령을 받았습니다.,부인,2
부인의 작업이 또 무엇이라고 했습니까?,부인,2
저는 그녀가 부인을 실망 시키지 않을 것이라는 것을 알고 있었습니다.,부인,2
우리는 부인이 그것으로 우리를 도울 수 있기를 바랍니다.,부인,2
만약 결함이 우리 것으로 판명되면 우리는 부인의 제품에 대해 전액 환불을 할 것입니다.,부인,2
부인은 우리 부동산에 우수한 임차인을 데려오는 데 필요한 기간에 대해 질문했습니다.,부인,2
>이 흰 부분이 지금 아마 부인한테 가장 필요한 그거를 많이 제공해요.,부인,2
내가 들었다면 나는 부인의 지역으로 물건을 보내지 않았을 것입니다.,부인,2
"저는 그가 필요한 모든 정보를 받았고, 부인이 묻는 어떤 질문에도 대답할 준비가 되어 있다고 확신합니다.",부인,2
부인은 걱정 없이 타고 정말 안전할 수 있습니다.,부인,2
좋아요. 주세요. 제가 돈을 지불하면 부인에게 알려드리겠습니다.,부인,2
"돌이켜보면, 부인은 아주 좋은 제안을 했어요.",부인,2
그게 다야? 부인은 또한 테이크 아웃과 주유소를 제안합니다. 그렇죠?,부인,2
부인이 가장 좋아하는 데이비드의 균형 잡힌 주문이요.,부인,2
"솔직히, 저는 부인의 지원을 받아들일 수 있었으면 좋겠어요.",부인,2
부인 차의 카펫과 다른 인테리어 자재들을 청소해 보셨나요?,부인,2
우리는 부인이 우리에게 부인의 요구 사항을 강조하는 메일을 보내기를 요청합니다.,부인,2
"안녕하세요 AAA, 부인의 회사가 2크로어 USD의 적자를 보여서 놀랐습니다.",부인,2
제가 그것의 세부 사항을 확인하는 동안 부인은 계속 접속해 주실 수 있나요?,부인,2
부인이 주문한 가방을 볼 수 있을까요?,부인,2
"부인은 그것에 동의할 수 있습니까, 아니면 특별히 다른 것이 요구됩니까?",부인,2
부인은 내가 아는 유일한 다국적 기업가로서 정당한 절차를 따르지 않습니다.,부인,2
부인은 사용자들의 관심을 끌어야 합니다.,부인,2
저희 외국인 근로자들도 부인의 설명을 듣고 엄지척을 해 주었습니다.,부인,2
이것이 부인의 영업 사원이 매번 말하는 것이기 때문에 정확히 얼마나 빠릅니다.,부인,2
"그들은 지금 부인과 같은 고민을 하고 있었고, 그들과 대화하고 직접 알아보세요.",부인,2
부인은 이번 달의 직원입니다.,부인,2
부인의 라텍스 장갑 한 상자는 얼마입니까?,부인,2
저는 부인의 웹사이트에서 거의 1.5개월 전에 주문을 했습니다.,부인,2
